Product ID,Name,Supplier ID,Supplier Name,Manufacturer ID,Maufacturer Name,Active
62,"Naima Wilburger Aglianico 2004 Magnum 1,5 L",6,De Conciliis,9,De Conciliis,1
70,Cabernet Merlot 2012,8,Glassierhof,12,Glassierhof,1
92,Merlot Colli Euganei DOC 1998,10,La Montecchia,10,La Montecchia,1
116,Equinotium Cabernet Sauvignon Riserva 2012,14,Mattia Filippi,20,Mattia Filippi,1
427,Canaiolo IGT Toscana Rosso  2009,37,Bibi Graetz,37,Bibi Graetz,1
653,"Naima Wilburger Aglianico 2005 Magnum 1,5 L",6,De Conciliis,9,De Conciliis,1
663,Underthesky Rosso 2012,14,Mattia Filippi,20,Mattia Filippi,1
739,Dueluglio Vermentino 2014,55,La Corsa,54,La Corsa,1
801,Nerobufaleffj Sicilia IGT  Rosso 2009,41,Gulfi,42,Gulfi,1
812,Oltre il Classico Rosè Riserva 2008,56,Cà  di Frara,55,Ca di Frara,1
926,Pinot Bianco 2014,8,Glassierhof,12,Glassierhof,1
959,L'Italia in 16 vini,61,Vinodalproduttore,60,,1
960,INCIPIT 3 mesi,61,Vinodalproduttore,61,Vinodalproduttore,1
961,SINE QUA NON 3 mesi,61,Vinodalproduttore,61,Vinodalproduttore,1
962,"AMANTES, AMENTES 3 mesi",61,Vinodalproduttore,61,Vinodalproduttore,1
966,INCIPIT 6 mesi,61,Vinodalproduttore,61,Vinodalproduttore,1
967,INCIPIT 12 mesi,61,Vinodalproduttore,61,Vinodalproduttore,1
968,SINE QUA NON 6 mesi,61,Vinodalproduttore,61,Vinodalproduttore,1
969,SINE QUA NON 12 mesi,61,Vinodalproduttore,61,Vinodalproduttore,1
970,"AMANTES, AMENTES 6 mesi",61,Vinodalproduttore,61,Vinodalproduttore,1
971,"AMANTES, AMENTES 12 mesi",61,Vinodalproduttore,61,Vinodalproduttore,1
984,Macchiatonda Rosè 2014,55,La Corsa,54,La Corsa,1
1032,Naima Wilburger Aglianico 2006,6,De Conciliis,9,De Conciliis,1
1051,Chianti Rà¹fina DOCG 2013,46,Travignoli,45,Travignoli,1
1164,Aghiloro 2012,55,La Corsa,54,La Corsa,1
1345,Rosè 2015,24,Villa Giada,25,Villa Giada,1
1443,Il Frater Riserva 2011 DOP,56,Cà  di Frara,55,Ca di Frara,1
1533,Rosato IGT di Basilicata Frà  2015,0,,34,Grifalco,1
1549,Champagne Audace Brut,69,I-DIKA SPA,67,La Chapelle,1
1550,Champagne Instinct Brut,69,I-DIKA SPA,67,La Chapelle,1
1551,Champagne Privilege Brut Premiere Cru,69,I-DIKA SPA,67,La Chapelle,1
1552,Champagne Millèsime Brut 2008,69,I-DIKA SPA,67,La Chapelle,1
1553,Champagne Nuance Brut Rosè,69,I-DIKA SPA,67,La Chapelle,1
1554,Champagne Extra Brut,69,I-DIKA SPA,68,Domaine Jose Michel,1
1555,Champagne Rosè,69,I-DIKA SPA,68,Domaine Jose Michel,1
1556,Champagne Brut Vintage 2007,69,I-DIKA SPA,68,Domaine Jose Michel,1
1557,Champagne Special Club 2007,69,I-DIKA SPA,68,Domaine Jose Michel,1
1558,Champagne Blanc de blancs 2007,69,I-DIKA SPA,68,Domaine Jose Michel,1
1580,"Don Antonio Nero D'Avola IGT, VERTICAL COLLECTION 98- 99- 00- 01- 04- 05 ",59,Morgante,58,Morgante,1
1794,"Tre Ponti 2013 Magnum 1,5 L",24,Villa Giada,25,Villa Giada,1
2077,BRUT DE MILLE Metodo Champenois,69,I-DIKA SPA,76,Chateau de Mille,1
2081,Perella Fiano Bianco 2013,6,De Conciliis,9,De Conciliis,1
2082,Selim Spumante Brut,6,De Conciliis,9,De Conciliis,1
2101,Bacioilcielo Rosso 2016,6,De Conciliis,9,De Conciliis,1
2102,Bacioilcielo Bianco 2016,6,De Conciliis,9,De Conciliis,1
2103,"Selim Spumante Brut Magnum 1,5 L",6,De Conciliis,9,De Conciliis,1
2105,Naima Aglianico 2009,6,De Conciliis,9,De Conciliis,1
2106,"Naima Aglianico 2009 Magnum 1,5 L",6,De Conciliis,9,De Conciliis,1
2142,Tre Ponti 2013,24,Villa Giada,25,Villa Giada,1
2173,Barolo Bussia DOCG 2011,27,Deltetto,26,Deltetto,1
2200,Donnaluna Aglianico Magnum 2015,6,De Conciliis,9,De Conciliis,1
2201,Naima Wilburger Aglianico 2005,6,De Conciliis,9,De Conciliis,1
2202,"Naima Wilburger Aglianico 2006 Magnum 1,5 L",6,De Conciliis,9,De Conciliis,1
2446,SER LAPO RISERVA PRIVATA Chianti Classico Riserva DOCG 2013,47,Castello di Fonterutoli,46,Castello di Fonterutoli,1
2461,PHILIP Toscana IGT 2014,47,Castello di Fonterutoli,46,Castello di Fonterutoli,1
2462,PHILIP Toscana IGT 2014 Magnum,47,Castello di Fonterutoli,46,Castello di Fonterutoli,1
2463,PHILIP Toscana IGT 2014 Doppia Magnum,47,Castello di Fonterutoli,46,Castello di Fonterutoli,1
2464,"PHILIP Toscana IGT 2014 Magnum 6,0 L",47,Castello di Fonterutoli,46,Castello di Fonterutoli,1
2467,Concerto Toscana IGT 2015,47,Castello di Fonterutoli,46,Castello di Fonterutoli,1
2468,Concerto Toscana IGT 2015 Magnum,47,Castello di Fonterutoli,46,Castello di Fonterutoli,1
2478,Effe Emme Terre Siciliane IGT 2014,47,Castello di Fonterutoli,71,Castello di Fonterutoli,1
2480,Effe Emme Terre Siciliane IGT 2014 Magnum,47,Castello di Fonterutoli,71,Castello di Fonterutoli,1
2481,Doppiozeta Noto Rosso DOC 2014,47,Castello di Fonterutoli,71,Castello di Fonterutoli,1
2482,Doppiozeta Noto Rosso DOC 2014 Magnum,47,Castello di Fonterutoli,71,Castello di Fonterutoli,1
2483,Doppiozeta Noto Rosso DOC 2014 Doppia Magnum,47,Castello di Fonterutoli,71,Castello di Fonterutoli,1
2494,Barolo Bussia DOCG 2012,27,Deltetto,26,Deltetto,1
2495,Barolo Bussia DOCG 2012 Magnum,27,Deltetto,26,Deltetto,1
2535,"Vini d'Italia, 3 MESI",0,,61,Vinodalproduttore,1
2536,"Vini d'Italia, 6 MESI",0,,61,Vinodalproduttore,1
2557,Prosecco DOC Extra Dry Magum astuccio,84,Zardetto Spumanti,84,Zardetto Spumanti,1
2558,"Vini d'Italia, 3 MESI 3 bottiglie",0,,61,Vinodalproduttore,1
2599,"Parüss Dolce Uve Nebbiolo Stramature 2011 0,375l",17,Parusso,6,Parusso,1
2864,Tre Ponti 2013 Magnum 3 L cassa legno,24,Villa Giada,25,Villa Giada,1
2865,Tre Ponti 2013 Magnum 5L cassa legno,24,Villa Giada,25,Villa Giada,1
2935,Merlot Baladello IGT Sebino 2013,48,Ferghettina,47,Ferghettina,1
2953,Morgante 2017 Nero d'Avola DOC Sicilia - Morgante,59,Morgante,58,Morgante,1
2991,BRUTROSSO Lambrusco di Sorbara DOC Spumante Brut Metodo Classico 2016,51,Cantina della Volta,50,Cantina della Volta,1
3016,Porta Monticano Millesimato 2017,84,Zardetto Spumanti,84,Zardetto Spumanti,1
3027,Prosecco Sup. Viti di San Mor Pas Dosè DOCG 2015 ,84,Zardetto Spumanti,84,Zardetto Spumanti,1
3028,Prosecco DOC  Brut Millesimato 2017,47,Castello di Fonterutoli,81,Castello di Fonterutoli,1
3029,Prosecco DOC  Brut Millesimato Magnum 2016,47,Castello di Fonterutoli,81,Castello di Fonterutoli,1
3030,Prosecco DOC  Extra Dry,47,Castello di Fonterutoli,81,Castello di Fonterutoli,1
3031,Azisa Bianco Sicilia DOC 2017,47,Castello di Fonterutoli,71,Castello di Fonterutoli,1
3032,"Azisa Bianco Sicilia DOC 2017 Magnum 1,5L",47,Castello di Fonterutoli,71,Castello di Fonterutoli,1
3033,Castello di Fonterutoli Sicilia Noto Rosso DOC 2016,47,Castello di Fonterutoli,71,Castello di Fonterutoli,1
3034,"Fonterutoli Sicilia Noto Rosso DOC 2016 Magnum 1,5L",47,Castello di Fonterutoli,71,Castello di Fonterutoli,1
3035,"Fonterutoli Sicilia Noto Rosso DOC Doppia Magnum 3,0L 2016",47,Castello di Fonterutoli,71,Castello di Fonterutoli,1
3036,Effe Emme Terre Siciliane IGT 2014 Doppia Magnum,47,Castello di Fonterutoli,71,Castello di Fonterutoli,1
3037,SIEPI Toscana IGT 2016 Magnum 12L,47,Castello di Fonterutoli,46,Castello di Fonterutoli,1
3038,SIEPI Toscana IGT 2016 Magnum 18L,47,Castello di Fonterutoli,46,Castello di Fonterutoli,1
3039,SIEPI Toscana IGT 2016,47,Castello di Fonterutoli,46,Castello di Fonterutoli,1
3040,SIEPI Toscana IGT 2016 Magnum,47,Castello di Fonterutoli,46,Castello di Fonterutoli,1
3041,"SIEPI Toscana IGT 2016 Doppia Magnum 3,0l",47,Castello di Fonterutoli,46,Castello di Fonterutoli,1
3042,"SIEPI Toscana IGT 2016 Magnum 6,0L",47,Castello di Fonterutoli,46,Castello di Fonterutoli,1
3043,Concerto Toscana IGT 2015 Doppia Magnum,47,Castello di Fonterutoli,46,Castello di Fonterutoli,1
3044,Concerto Toscana IGT 2015 6L,47,Castello di Fonterutoli,46,Castello di Fonterutoli,1
3045,Concerto Toscana IGT 2015 12L,47,Castello di Fonterutoli,46,Castello di Fonterutoli,1
3046,Concerto Toscana IGT 2015 18L,47,Castello di Fonterutoli,46,Castello di Fonterutoli,1
3047,Castello Fonterutoli Chianti Classico DOCG 2015,47,Castello di Fonterutoli,46,Castello di Fonterutoli,1
3048,Castello Fonterutoli Chianti Classico DOCG 2015 Magnum,47,Castello di Fonterutoli,46,Castello di Fonterutoli,1
3049,Castello Fonterutoli Chianti Classico DOCG 2015 Doppia Magnum,47,Castello di Fonterutoli,46,Castello di Fonterutoli,1
3050,Castello Fonterutoli Chianti Classico DOCG 2015 Magnum 6L,47,Castello di Fonterutoli,46,Castello di Fonterutoli,1
3051,Castello di Fonterutoli Chianti Classico DOCG 2016 Magnum,47,Castello di Fonterutoli,46,Castello di Fonterutoli,1
3053,Castello di Fonterutoli Chianti Classico DOCG 2016 Doppia Magnum 3L,47,Castello di Fonterutoli,46,Castello di Fonterutoli,1
3054,MIX36 Toscana IGT 2015,47,Castello di Fonterutoli,46,Castello di Fonterutoli,1
3055,MIX36 Toscana IGT 2015 Magnum,47,Castello di Fonterutoli,46,Castello di Fonterutoli,1
3067,POGGIO BADIOLA Toscana IGT 2016,47,Castello di Fonterutoli,46,Castello di Fonterutoli,1
3068,POGGIO BADIOLA Toscana IGT 2016 Magnum,47,Castello di Fonterutoli,46,Castello di Fonterutoli,1
3090,Achilles Terre siciliane IGT 2015,47,Castello di Fonterutoli,71,Castello di Fonterutoli,1
3091,Achilles Terre siciliane IGT 2015 Magnum,47,Castello di Fonterutoli,71,Castello di Fonterutoli,1
3092,Achilles Terre siciliane IGT 2015  Doppia Magnum 3L,47,Castello di Fonterutoli,71,Castello di Fonterutoli,1
3105,Don Antonio Nero D'Avola DOC 1998,59,Morgante,58,Morgante,1
3106,Don Antonio Nero D'Avola DOC 1999,59,Morgante,58,Morgante,1
3107,Don Antonio Nero D'Avola DOC 2000,59,Morgante,58,Morgante,1
3108,Don Antonio Nero D'Avola DOC 2001,59,Morgante,58,Morgante,1
3109,Don Antonio Nero D'Avola DOC 2004,59,Morgante,58,Morgante,1
3110,Don Antonio Nero D'Avola DOC 2005,59,Morgante,58,Morgante,1
3146,Quattro Spine 2015,40,Tenuta San Francesco,40,Tenuta San Francesco,1
3149,Tramonti Bianco 2017,40,Tenuta San Francesco,40,Tenuta San Francesco,1
3185,Sogni e Follia - Rosso di Montalcino DOC 2015,86,Podere Le Ripi,86,Podere Le Ripi,1
3202,Sogni e Follia - Rosso di Montalcino DOC 2015 magnum ,0,,86,Podere Le Ripi,1
3220,Spumante Millesimato 2014 Magnum,27,Deltetto,26,Deltetto,1
3222,Barolo Bussia DOCG 2010,27,Deltetto,26,Deltetto,1
3228,Sogni e Follia - Rosso di Montalcino DOC 2015 Doppia magnum  3L,86,Podere Le Ripi,86,Podere Le Ripi,1
3229,Sogni e Follia - Rosso di Montalcino DOC 2015 Magnum 5L,86,Podere Le Ripi,86,Podere Le Ripi,1
3230,"Cielo d'Ulisse Brunello di Montalcino 2013 Magnum 1,5L",86,Podere Le Ripi,86,Podere Le Ripi,1
3260,Hermes Passito 2017 - IGT Isola dei Nuraghi - Tenute Soletta ,22,Tenute Soletta,4,Tenute Soletta,1
3279,Lacrima di Morro d'Alba 2016 - Doc Superiore - Pellegrini Vini,89,Cantina Pellegrini,89,Pellegrini Vini,1
3281,Verdicchio dei Castelli di Jesi 2017- Doc - Pellegrini Vini,89,Cantina Pellegrini,89,Pellegrini Vini,1
3303,Brunello di Montalcino DOCG Montosoli 2014,58,Altesino,57,Altesino,1
3305,Brunello di Montalcino DOCG 2014 Magnum,58,Altesino,57,Altesino,1
3306,Brunello di Montalcino DOCG Montosoli 2014 Magnum,58,Altesino,57,Altesino,1
3307,Brunello di Montalcino DOCG Riserva 2013,58,Altesino,57,Altesino,1
3308,Rosso di Toscana IGT Doppia Magnum 2016,58,Altesino,57,Altesino,1
3309,Alte d'Altesi IGT Toscana 2016,58,Altesino,57,Altesino,1
3310,Palazzo Altesi IGT Toscana 2016,58,Altesino,57,Altesino,1
3311,"Donna Daria Fior d'Arancio Passito 2016 Mezza Bottiglia 0,375 L",10,La Montecchia,10,La Montecchia,1
3318,Pinot Bianco Colli Euganei DOC 2018,10,La Montecchia,10,La Montecchia,1
3320,Merlot Colli Euganei DOC 2016,10,La Montecchia,10,La Montecchia,1
3358,Bianco Toscana IGT 2018 - Altesino,58,Altesino,57,Altesino,1
3361,Rosso di Toscana IGT 2017 Magnum 3L - Altesino,58,Altesino,57,Altesino,1
3362,Aiòn 2017- Rosso Conero doc - Cantine Moroder,90,Cantine Moroder,90,Cantine Moroder,1
3363,Conero Riserva docg Bio 2015 - Cantine Moroder,90,Cantine Moroder,90,Cantine Moroder,1
3369,Vis Vitae 2016,7,Giardini Ripadiversilia,16,Giardini Ripadiversilia,1
3370,Colli e Mare 2017,7,Giardini Ripadiversilia,16,Giardini Ripadiversilia,1
3379,Brut rosè 2017- Spumante - Cantine Moroder,90,Cantine Moroder,90,Cantine Moroder,1
3493,"Parüss Dolce Uve Nebbiolo Stramature 2012 0,375l",17,Parusso,6,Parusso,1
3502,Barolo Etichetta Bianca DOCG 2015 Magnum 3 L,17,Parusso,6,Parusso,1
3513,Rainoldi Essenziale ,57,Rainoldi,56,Rainoldi ,1
3514,Rainoldi Ampio ,57,Rainoldi,56,Rainoldi ,1
3515,Rainoldi Completo ,57,Rainoldi,56,Rainoldi ,1
3574,Poggio Bestiale 2014 - Maremma Toscana Doc - Fattoria di Magliano,92,Fattoria di Magliano,110,Fattoria di Magliano,1
3575,Sinarra 2015 - Sangiovese della Maremma Toscana Doc Bio - Fattoria di Magliano,92,Fattoria di Magliano,110,Fattoria di Magliano,1
3577,Illario 2019 - Rosato della Maremma Toscana Doc Bio - Fattoria di Magliano,92,Fattoria di Magliano,110,Fattoria di Magliano,1
3579,Altizi 2015 - Cabernet Franc della Maremma Toscana Doc - Fattoria di Magliano ,92,Fattoria di Magliano,110,Fattoria di Magliano,1
3580,Brissaia 2018 - Ansonica della Maremma Toscana Doc Bio - Fattoria di Magliano,92,Fattoria di Magliano,110,Fattoria di Magliano,1
3585,Heba 2016 Magnum -  Morellino di Scansano docg bio - Fattoria di Magliano,92,Fattoria di Magliano,110,Fattoria di Magliano,1
3586,Malvasia delle Lipari 2016 - Tenuta di Castellaro,71,Tenuta di Castellaro,70,Tenuta di Castellaro,1
3587,Heba 2016 Magnum 3L -  Morellino di Scansano docg bio - Fattoria di Magliano,92,Fattoria di Magliano,110,Fattoria di Magliano,1
3588,Sinarra 2015 Magnum - Sangiovese della Maremma Toscana Doc Bio - Fattoria di Magliano,92,Fattoria di Magliano,110,Fattoria di Magliano,1
3589,Perenzo 2015 Magnum - Syrah Maremma Toscana Doc - Fattoria di Magliano,92,Fattoria di Magliano,110,Fattoria di Magliano,1
3590,Perenzo 2015 Magnum 3L - Syrah Maremma Toscana Doc - Fattoria di Magliano,92,Fattoria di Magliano,110,Fattoria di Magliano,1
3591,Poggio Bestiale 2014 Magnum - Maremma Toscana Doc - Fattoria di Magliano,92,Fattoria di Magliano,110,Fattoria di Magliano,1
3592,Poggio Bestiale 2014 Magnum 3L - Maremma Toscana Doc - Fattoria di Magliano,92,Fattoria di Magliano,110,Fattoria di Magliano,1
3593,Poggio Bestiale 2014 Magnum 5L - Maremma Toscana Doc - Fattoria di Magliano,92,Fattoria di Magliano,110,Fattoria di Magliano,1
3594,Poggio Bestiale 2014 Magnum 9L - Maremma Toscana Doc - Fattoria di Magliano,92,Fattoria di Magliano,110,Fattoria di Magliano,1
3595,Poggio Bestiale 2014 Magnum 12L - Maremma Toscana Doc - Fattoria di Magliano,92,Fattoria di Magliano,110,Fattoria di Magliano,1
3596,Franciacorta Brut DOCG - Ferghettina,48,Ferghettina,47,Ferghettina,1
3597,Horus 2018 - Carignano del Sulcis Rosato Doc- Cantine Sardus Pater,20,Sardus Pater,3,Sardus Pater,1
3598,Is Solus 2017 - Carignano del Sulcis Doc - Sardus Pater,20,Sardus Pater,3,Sardus Pater,1
3600,Is Solus 2017 magnum - Carignano del Sulcis Doc - Sardus Pater,20,Sardus Pater,3,Sardus Pater,1
3602,"Is Arenas 2015 Magnum 1,5L - Carignano del Sulcis Riserva Doc - Sardus Pater",20,Sardus Pater,3,Sardus Pater,1
3603,Is Arenas 2015 Magnum 3L - Carignano del Sulcis Riserva Doc - Sardus Pater,20,Sardus Pater,3,Sardus Pater,1
3605,Arruga 2014 - Carignano del Sulcis Superiore Doc - Sardus Pater ,20,Sardus Pater,3,Sardus Pater,1
3606,"Arruga 2014 Magnum 1,5L - Carignano del Sulcis Superiore Doc - Sardus Pater ",20,Sardus Pater,3,Sardus Pater,1
3607,Arruga 2014 Magnum 3L - Carignano del Sulcis Superiore Doc - Sardus Pater ,20,Sardus Pater,3,Sardus Pater,1
3608,Arruga 2014 Magnum 6L - Carignano del Sulcis Superiore Doc - Sardus Pater ,20,Sardus Pater,3,Sardus Pater,1
3609,Arruga 2014 Magnum 12L - Carignano del Sulcis Superiore Doc - Sardus Pater ,20,Sardus Pater,3,Sardus Pater,1
3610,Terre Fenicie 2018 - Vermentino di Sardegna Doc - Sardus Pater ,20,Sardus Pater,3,Sardus Pater,1
3611,Foras 2016 - Cannonau di Sardegna Doc - Sardus Pater,20,Sardus Pater,3,Sardus Pater,1
3613,Nur 2016 - Carignano del Sulcis Doc - Sardus Pater,20,Sardus Pater,3,Sardus Pater,1
3614,Lugore 2018 - Vermentino di Sardegna Doc - Sardus Pater,20,Sardus Pater,3,Sardus Pater,1
3615,Kanai 2016 - Carignano del Sulcis Riserva Doc - Sardus Pater ,20,Sardus Pater,3,Sardus Pater,1
3618,AD 49 Millesimato Brut 2014 - Vermentino di Sardegna Spumante Metodo Classico Doc - Sardus Pater,20,Sardus Pater,3,Sardus Pater,1
3619,AD 49 Millesimato Brut 2014 Magnum - Vermentino di Sardegna Spumante M.C Doc - Sardus Pater,20,Sardus Pater,3,Sardus Pater,1
3620,Amentos di Moscato 2014 0.375 L - Moscato di Cagliari Doc - Sardus Pater,20,Sardus Pater,3,Sardus Pater,1
3621,Amentos di Nasco 2011 0.375L - Nasco di Cagliari DOC - Sardus Pater,20,Sardus Pater,3,Sardus Pater,1
3622,Amentos di Carignano 2016 0.375 L - Carignano del Sulcis Doc - Sardus Pater,20,Sardus Pater,3,Sardus Pater,1
3627,Milledì 2015 - Franciacorta Brut Docg millesimato - Ferghettina,48,Ferghettina,47,Ferghettina,1
3628,Terramare Fiano 2018 - IGT Salento Bianco - Feudi di Guagnano,28,Feudi di Guagnano,27,Feudi di Guagnano,1
3629,Diplomatiko Bianco 2018 - Cirò Bianco Doc - Antichi Vigneti Fratelli Sculco,93,Antichi Vigneti F.lli Sculco,111, Antichi Vigneti Fratelli Sculco,1
3631,Diplomatiko Rosso 2017 - Cirò Rosso Doc - Antichi Vigneti Fratelli Sculco,93,Antichi Vigneti F.lli Sculco,111, Antichi Vigneti Fratelli Sculco,1
3632,Diplomatiko Rosato 2018 - Cirò Rosato Doc - Antichi Vigneti Fratelli Sculco,93,Antichi Vigneti F.lli Sculco,111, Antichi Vigneti Fratelli Sculco,1
3633,Cirò Rosso Riserva 2016 - Cirò Classico Superiore Riserva Doc - Antichi Vigneti Fratelli Sculco,93,Antichi Vigneti F.lli Sculco,111, Antichi Vigneti Fratelli Sculco,1
3634,Oliva Riesling 2017 - Oltrepò Pavese Riserva DOP - Ca di Frara,56,Cà  di Frara,55,Ca di Frara,1
3635,La Casetta Bianca 2018 - Oltrepò Pavese Bianco DOP - Ca di Frara,56,Cà  di Frara,55,Ca di Frara,1
3636,La Casetta Rossa 2017 - Bonarda dell'Oltrepò Pavese DOP - Ca di Frara,56,Cà  di Frara,55,Ca di Frara,1
3642,Peumoussant Bianco 2018 - Pinot Nero Igp - Ca di Frara,56,Cà  di Frara,55,Ca di Frara,1
3643,Peumoussant Rosa 2018 - Provincia di Pavia Pinot Nero IGP - Ca di Frara,56,Cà  di Frara,55,Ca di Frara,1
3644,Il Frater Riserva 2015 - Oltrepò Pavese Rosso Riserva DOP - Ca di Frara ,56,Cà  di Frara,55,Ca di Frara,1
3645,Pinot Grigio Selezione dei 20 anni 2018 - Oltrepò Pavese DOP - Ca di Frara,56,Cà  di Frara,55,Ca di Frara,1
3646,Pinot Nero 2018 - Oltrepò Pavese  DOP - Ca di Frara ,56,Cà  di Frara,55,Ca di Frara,1
3647,Pinot Nero Rosè 2018 - Oltrepò Pavese DOP - Ca di Frara ,56,Cà  di Frara,55,Ca di Frara,1
3648,Oltre il Classico - VSQ Extra Brut - Ca di Frara ,56,Cà  di Frara,55,Ca di Frara,1
3649,Monpezzato Bonarda 2018 - Oltrepò Pavese frizzante DOP - Ca di Frara,56,Cà  di Frara,55,Ca di Frara,1
3650,Oltre il Classico  Rosè - VSQ Extra Brut Pinot Nero - Ca di Frara,56,Cà  di Frara,55,Ca di Frara,1
3651,Oltre il Classico Nature - VSQ Pinot Nero - Ca di Frara,56,Cà  di Frara,55,Ca di Frara,1
3652,Riesling Superiore 2017 - Oltrepò Pavese DOP - Ca di Frara,56,Cà  di Frara,55,Ca di Frara,1
3653,Pinot Grigio 2015 - Oltrepò Pavese DOP - Ca' di  Frara,56,Cà  di Frara,55,Ca di Frara,1
3654,Io Rosso Riserva  2016 - Provincia di Pavia IGP - Ca di Frara,56,Cà  di Frara,55,Ca di Frara,1
3657,Zoe Brut 2013 - Spumante Metodo Classico - Tenute Pacelli,94,Tenute Pacelli,112,Tenute Pacelli,1
3658,Zio Nunà¹ 2015 - IGP Calabria - Tenute Pacelli ,94,Tenute Pacelli,112,Tenute Pacelli,1
3660,Tèmeso 2015 - Calabria IGP Biologico - Tenute Pacelli,94,Tenute Pacelli,112,Tenute Pacelli,1
3661,Terra Rossa 2017 - Calabria IGP Biologico - Tenute Pacelli,94,Tenute Pacelli,112,Tenute Pacelli,1
3662,Tèmeso 2012 - Calabria IGP Biologico - Tenute Pacelli,94,Tenute Pacelli,112,Tenute Pacelli,1
3664,Eos Passito 2013 - Esaro IGP Vino Biologico - Tenute Pacelli,94,Tenute Pacelli,112,Tenute Pacelli,1
3667,Vinarancio 2019 - Bianco da uve macerate Bio - Ghio Vini,95,Ghio Vini,113,Ghio Vini,1
3670,Arciprete 2015 - Ovada DOCG Riserva Vigna - Ghio Vini,95,Ghio Vini,113,Ghio Vini,1
3672,La Cascina 2015 - Monferrato Rosso DOC - Ghio Vini,95,Ghio Vini,113,Ghio Vini,1
3674,La Canna e l'Orzo - VSQ Metodo Classico Rosè - Ghio Vini,95,Ghio Vini,113,Ghio Vini,1
3675,"Drà¡c Passito 0,375 l - Vino Bianco da uve passe - Ghio Vini",95,Ghio Vini,113,Ghio Vini,1
3677,Sur Lie Rizolo - Vino bianco frizzante - Zardetto,84,Zardetto Spumanti,84,Zardetto Spumanti,1
3678,Refosso Brut  2018 -  Conegliano Valdobbiadene Prosecco Sup. DOCG - Zardetto,84,Zardetto Spumanti,84,Zardetto Spumanti,1
3679,Porta Monticano Millesimato 2018 - Vino Spumante Brut - Zardetto,84,Zardetto Spumanti,84,Zardetto Spumanti,1
3680,Molìn Extra Dry 2018 - Conegliano Valdobbiadene Prosecco Superiore DOCG - Zardetto,84,Zardetto Spumanti,84,Zardetto Spumanti,1
3682,Porta Monticano DOC Extra Dry - Prosecco DOC Treviso - Zardetto  ,84,Zardetto Spumanti,84,Zardetto Spumanti,1
3684,Fòndego Dry 2018 - Conegliano Valdobbiadene Prosecco Superiore DOCG - Zardetto,84,Zardetto Spumanti,84,Zardetto Spumanti,1
3685,Porta Monticano Brut DOC - Prosecco DOC Treviso - Zardetto,84,Zardetto Spumanti,84,Zardetto Spumanti,1
3686,Cavalièr Brut Bio - Conegliano Valdobbiadene  Prosecco Superiore DOCG - Zardetto,84,Zardetto Spumanti,84,Zardetto Spumanti,1
3687,Porta Monticano Rosè - Vino Spumante Rosato - Zardetto,84,Zardetto Spumanti,84,Zardetto Spumanti,1
3688,Tre Venti 2017 - Conegliano Valdobbiadene Prosecco Superiore Rive di Ogliano DOCG - Zardetto,84,Zardetto Spumanti,84,Zardetto Spumanti,1
3689,Porta Monticano Verdiso - Verdiso IGT Colli Trevigiani - Zardetto,84,Zardetto Spumanti,84,Zardetto Spumanti,1
3690,Cartizze 2018 - Valdobbiadene Prosecco Superiore di Cartizze DOCG - Zardetto,84,Zardetto Spumanti,84,Zardetto Spumanti,1
3691,"Porta Monticano -Prosecco DOC  Brut Magnum 1,5L - Prosecco DOC Treviso - Zardetto",84,Zardetto Spumanti,84,Zardetto Spumanti,1
3694,Le Viti di San Mor 2016 - Conigliano Valdobbiadene Prosecco Superiore DOCG - Zardetto,84,Zardetto Spumanti,84,Zardetto Spumanti,1
3696,Essentija 2015 - Isola dei Nuraghi IGT - Pala,16,Pala,13,Pala,1
3698,Stellato 2018 - Vermentino di Sardegna DOC - Pala,16,Pala,13,Pala,1
3699,La Base 2016 - Chardonnay Emilia IGT - Cantina della  Volta,51,Cantina della Volta,50,Cantina della Volta,1
3700,Fermo 2015 - Pinot Nero Emila IGT - Cantina della volta,51,Cantina della Volta,50,Cantina della Volta,1
3701,Il Mattaglio Dosaggio Zero - Metodo Classico - Cantina della Volta,51,Cantina della Volta,50,Cantina della Volta,1
3702,"Il Mattaglio Dosaggio Zero Magnum 1,5 L -  Metodo Classico - Cantina della Volta",51,Cantina della Volta,50,Cantina della Volta,1
3703," Il Mattaglio Brut Magnum 1,5 L - Metodo Classico- Cantina della Volta",51,Cantina della Volta,50,Cantina della Volta,1
3706,Il Mattaglio Brut - Metodo Classico - Cantina della Volta,51,Cantina della Volta,50,Cantina della Volta,1
3707,Il Mattaglio Rosè - Metodo Classico - Cantina della Volta,51,Cantina della Volta,50,Cantina della Volta,1
3708, Il Mattaglio Brut Magnum 3L - Metodo Classico - Cantina della Volta,51,Cantina della Volta,50,Cantina della Volta,1
3709,Il Mattaglio Brut  Magnum 6L - Metodo Classico - Cantina Della Volta,51,Cantina della Volta,50,Cantina della Volta,1
3712,Il Mattaglio Blanc de Blancs Riserva 2013 - Metodo Classico Brut - Cantina Della Volta,51,Cantina della Volta,50,Cantina della Volta,1
3713,"Il Mattaglio Blanc de Blancs Riserva 2013 Magnum 1,5L - Metodo Classico Brut - Cantina Della Volta",51,Cantina della Volta,50,Cantina della Volta,1
3714,Rimosso 2017 - Lambrusco di Sorbara DOC - Cantina della Volta ,51,Cantina della Volta,50,Cantina della Volta,1
